1,代码整洁之道,[美]保罗·奥兰德, 图灵|人民邮电出版社 ,https://book.douban.com/subject/34986245/,"
内容简介:
软件质量，不但依赖架构及项目管理，而且与代码质量紧密相关。这一点，无论是敏捷开发流派还是传统开发流派，都不得不承认。本书提出一种观点：代码质量与其整洁度成正比。干净的代码，既在质量上较为可靠，也为后期维护、升级奠定了良好基础。作为编程领域的佼佼者，本书作者给出了一系列行之有效的整洁代码操作实践。这些实践在本书中体现为一条条规则（或称“启示”），并辅以来自实际项目的正、反两面的范例。只要遵循这些规则，就能编写出干净的代码，从而有效提升代码质量。 本书阅读对象为一切有志于改善代码质量的程序员及技术经理。书中介绍的规则均来自作者多年的实践经验，涵盖从命名到重构的多个编程方面，虽为一“家”之言，然诚有可资借鉴的价值。"
2,匠艺整洁之道：程序员的职业修养,[美]保罗·奥兰德, 图灵|人民邮电出版社 ,https://book.douban.com/subject/35879791/,"
内容简介:
鲍勃大叔因在技术人群中声名远播的Clean系列在全球圈粉无数。本书为其烫手新作，旨在为广大工程师指明一条通向匠师之路，包括饱经洗砺的敏捷技术实践，如何通过持续的努力提高专业素养，软件可用之上的目标与技能，以及如何激发团队最大潜能，等等。本书融会几本经典著作的精髓，将“整洁”方法论推向至高境界—软件开发者有责任维护世界正常运行，而“人”才是“技术”的决定者。 《匠艺整洁之道：程序员的职业修养》共分三部分，前两部分用实例阐释TDD在敏捷软件中的运用，以及验收测试、协同编程等常被忽视的敏捷侧面与具体策略，还探讨了颇有价值的软件设计方案相关话题；第Ⅲ部分拔地而起，直接提出十条堪称金玉良言的“规劝”，以帮助程序员成为团队基石。 《匠艺整洁之道：程序员的职业修养》适合所有软件开发者、测试工程师及工程类院校师生，对技术团队负责人及架构师同样大有助益。"
3,Python编程:从入门到实践（第2版）,[美]保罗·奥兰德, 图灵|人民邮电出版社 ,https://book.douban.com/subject/35196328/,"
内容简介:
本书是针对所有层次Python读者而作的Python入门书。全书分两部分：第一部分介绍用Python编程所必须了解的基本概念，包括Matplotlib等强大的Python库和工具，以及列表、字典、if语句、类、文件与异常、代码测试等内容；第二部分将理论付诸实践，讲解如何开发三个项目，包括简单的2D游戏、利用数据生成交互式的信息图以及创建和定制简单的Web应用，并帮助读者解决常见编程问题和困惑。第2版进行了全面修订，简化了Python安装流程，新增了f字符串、get()方法等内容，并且在项目中使用了Plotly库以及新版本的Django和Bootstrap，等等。"
4,Vue.js设计与实现,[美]保罗·奥兰德, 图灵|人民邮电出版社 ,https://book.douban.com/subject/35768338/,"
内容简介:
本书基于Vue.js 3，从规范出发，以源码为基础，并结合大量直观的配图，循序渐进地讲解Vue.js中各个功能模块的实现，细致剖析框架设计原理。全书共18章，分为六篇，主要内容包括：框架设计概览、响应系统、渲染器、组件化、编译器和服务端渲染等。通过阅读本书，对Vue.js 2/3具有上手经验的开发人员能够进一步理解Vue.js框架的实现细节，没有Vue.js使用经验但对框架设计感兴趣的前端开发人员，能够快速掌握Vue.js的设计原理。"
5,程序员修炼之道（第2版）:通向务实的最高境界,[美]保罗·奥兰德, 图灵|人民邮电出版社 ,https://book.douban.com/subject/35006892/,"
内容简介:
本书之所以在全球范围内广泛传播，被一代代开发者奉为圭臬，盖因它可以创造出真正的价值：或编写出更好的软件，或探究出编程的本质，而所有收获均不依赖于特定语言、框架和方法。时隔20年的新版，经过全面的重新选材、组织和编写，覆盖哲学、方法、工具、设计、解耦、并发、重构、需求、团队等务实话题的最佳实践及重大陷阱，以及易于改造、复用的架构技术。本书极具洞察力与趣味性，适合从初学者到架构师的各阶层读者潜心研读或增广见闻。"
6,Python工匠:案例、技巧与工程实践,[美]保罗·奥兰德, 图灵|人民邮电出版社 ,https://book.douban.com/subject/35723705/,"
内容简介:
◎ 编辑推荐 ☆本书基于作者的开源GitHub图书，广受读者喜爱，市面上难得的原创Python进阶图书。 ☆写作方式别具一格，核心知识点通过三大板块来阐述：基础知识、案例故事、编程建议。 其中基础知识帮助大家快速回顾Python基础；案例故事由作者经历的编程项目与案 例改编而来，兼具实战性与趣味性；编程建议以大家喜闻乐见的条目式知识点呈现，短小精悍，可直接应用于自己的编程实践中。 ◎ 内容简介 本书基于广受好评的“Python工匠”系列开源文章。 全书从工程实践角度出发，通过剖析核心知识、展示典型案例与总结实用技巧，帮助大家系统进阶Python，写好工程代码，做好实践项目。 本书共计13章，分为五大部分：变量与基础类型、语法结构、函数与装饰器、面向对象编程、总结与延伸，涵盖Python编程的方方面面。"
7,SoftwareEngineeringatGoogle:LessonsLearnedfromProgrammingOverTime,[美]保罗·奥兰德, 图灵|人民邮电出版社 ,https://book.douban.com/subject/34875994/,"
内容简介:
The approach to and understanding of software engineering at Google is unlike any other company. With this book, you’ll get a candid and insightful look at how software is constructed and maintained by some of the world’s leading practitioners. Titus Winters, Tom Manshreck, and Hyrum K. Wright, software engineers and a technical writer at Google, reframe how software engineerin...(展开全部)"
8,微服务架构设计模式,[美]保罗·奥兰德, 图灵|人民邮电出版社 ,https://book.douban.com/subject/33425123/,"
内容简介:
成功地开发基于微服务架构的应用软件，需要掌握一系列全新的架构思想和实践。在这本独特的书籍中，微服务架构的先驱、Java 开发者社区的意见领袖 Chris Richardson 收集、分类并解释了 44 个架构设计模式，这些模式用来解决诸如服务拆分、事务管理、查询和跨服务通信等难题。 本书将教会你如何开发和部署生产级别的微服务架构应用。这套宝贵的架构设计模式建立在数十年的分布式系统经验之上，Chris 还为开发服务添加了新的模式，并将它们组合成可在真实条件下可靠地扩展和执行的系统。本书不仅仅是一个模式目录，还提供了经验驱动的建议，以帮助你设计、实现、测试和部署基于微服务的应用程序。 本书包含： 如何（以及为什么）使用微服务架构 服务拆分的策略 事务管理和查询相关的模式 高效的测试策略 包括容器和 Serverless 在内的部署模式 本书专为熟悉标准企...(展开全部)"
9,Scratch趣味编程：孩子的第一本编程启蒙书小甲鱼系列:小甲鱼系列,[美]保罗·奥兰德, 图灵|人民邮电出版社 ,https://book.douban.com/subject/35029210/,"
内容简介:"
10,C程序设计语言（第2版·新版）,[美]保罗·奥兰德, 图灵|人民邮电出版社 ,https://book.douban.com/subject/1139336/,"
内容简介:
在计算机发展的历史上，没有哪一种程序设计语言像C语言这样应用广泛。本书作者是C语言的设计者之一Dennis M. Ritchie和著名计算机科学家Brian W. Kernighan合著的一本介绍C语言的权威经典著作。我们现在见到的大量论述C语言程序设计的教材和专著均以此书为蓝本。 原著第1版中介绍的C语言成为后来广泛使用的C语言版本——标准C的基础。人们熟知的“hello,World""程序就是由本书首次引入的，现在，这一程序已经成为众多程序设计语言入门的第一课。原著第2版根据1987年制定的ANSIC标准做了适当的修订．引入了最新的语言形式，并增加了新的示例，通过简洁的描述、典型的示例，作者全面、系统、准确地讲述了C语言的各个特性以及程序设计的基本方法。 对于计算机从业人员来说，本书是一本必读的程序设计语言方面的参考书。"
